ID,corral,dose,collection.date,body.length,body.weight,gi.weight,fillet.weight,liver.weight,gills.weight,notes,adult insecta,amphipoda,chironomid,cladocera,cyclopoida,odonata,total.animals,diet.notes
B-4,B,0,15-08-2021,10.9,11.6,0.355,1.919,0.029,0.255,this fish had respirometry!!!,0,0,0,0,0,0,0,"stomach appears to be empty, maybe algae?"
C-10,C,414,22-08-2021,10.2,9.6,0.342,1.287,0.067,0.092,,0,0,5,63,7,0,75,seems to be mostly daphniids
C-11,C,414,22-08-2021,10.6,11.8,0.475,2.907,0.067,0.092,,0,1,6,19,1,0,27,seems to be mostly daphniids
C-9,C,414,22-08-2021,9.8,8.4,0.324,8.202,0.088,0.181,,1,1,7,46,3,0,58,seems to be mostly daphniids
D-7,D,29240,17-08-2021,10.3,10.2,0.749,3.204,0.075,0.244,this fish had respirometry!!!,2,0,15,655,7,0,679,seems to be mostly daphniids
D-9,D,29240,17-08-2021,10.4,10.6,0.561,1.858,0.236,0.237,,1,0,2,177,0,0,180,a lot more cladocerans but very digested; seems to be mostly daphniids
E-10,E,100,19-08-2021,10.1,9,0.233,1.115,0.059,0.277,,0,0,0,0,0,0,0,some digested matter
E-11,E,100,19-08-2021,10.5,9.9,0.173,1.289,0.065,0.214,,1,0,0,0,0,0,1,some digested matter including 3 chironomid heads
E-12,E,100,19-08-2021,10.1,9.1,0.211,1.031,0.069,0.128,,4,0,0,0,0,0,4,"stomach contents greenish, maybe algae?"
E-2,E,100,18-08-2021,9.6,8.2,0.128,1.192,0.053,0.114,,0,0,0,0,0,0,0,
E-9,E,100,18-08-2021,9.5,7.8,0.257,1.92,0.053,0.406,,5,0,0,0,0,0,5,
F-6,F,6,20-08-2021,10.6,11.3,0.234,1.9,0.091,0.406,,2,0,0,112,97,0,211,possibly lots of smaller polyphemid cladocerans which make up nearly all the cladocerans
F-7,F,6,20-08-2021,9.5,9.4,0.31,2.56,0.068,0.243,,1,0,0,3,15,0,19,cladocerans shaped like daphnia
G-12,G,7071,24-08-2021,9.5,7.95,0.234,2.145,0.099,0.181,,1,0,0,6,0,0,7,cladocerans mostly shaped like daphnia; 1 possibly chydorus
G-13,G,7071,24-08-2021,9.9,10.63,0.314,2.495,0.06,0.121,,1,0,1,0,0,0,2,"lots of digested material, including many chironomid heads"
G-9,G,7071,23-08-2021,9.1,7.17,0.178,1.527,0.107,0.098,,0,0,0,0,0,0,0,"lots of digested material, including chironomid heads"
H-1,H,0,24-08-2021,7.1,4,0.532,0.985,0.035,0.128,,0,0,4,1163,48,1,1216,mostly chydorids (?) and possibily daphniids/macrothricids (?)
H-11,H,0,24-08-2021,9.4,7.5,0.365,0.135,0.082,1.249,,0,0,7,619,18,0,644,mostly daphniids/macrothricids(?); some chydorids(?)
H-13,H,0,24-08-2021,9.1,7.7,0.371,1.129,0.061,0.225,,1,0,2,183,2,0,188,mostly daphniids/macrothricids(?); some chydorids(?)
H-14,H,0,24-08-2021,9.2,7.9,0.356,1.379,0.066,0.229,,0,0,0,227,16,0,243,mostly daphniids/macrothricids(?); some chydorids(?)
H-17,H,0,24-08-2021,7.4,4,0.228,0.411,0.04,0.137,,,,,,,,0,
H-2,H,0,24-08-2021,6.8,3.1,0.142,0.639,0.041,0.103,,,,,,,,0,
H-3,H,0,24-08-2021,7.5,4.3,0.407,0.618,0.029,0.128,,,,,,,,0,
I-10,I,1710,20-08-2021,9.9,8.52,0.274,2.019,0.039,0.267,,,,,,,,0,
I-11,I,1710,21-08-2021,10.4,9.96,0.305,1.578,0.023,0.205,,,,,,,,0,
I-2,I,1710,20-08-2021,10.4,9.74,0.301,1.044,0.09,0.162,,,,,,,,0,
I-3,I,1710,20-08-2021,9.6,8.53,0.277,2.545,0.068,0.236,,,,,,,,0,
I-9,I,1710,20-08-2021,10.7,9.4,0.273,0.919,0.038,0.145,,,,,,,,0,
